Plant Code,Plant Name,State,County,Latitude,Longitude,Nameplate Capacity (MW),Retirement Year,Name of Water Source,suitability_score,predicted_score,suitability_class,co2_reduction_tons_per_year
1554,Herbert A Wagner,MD,Anne Arundel,39.1781,-76.5268,136.0,2020.0,Patapsco River,3,2.63,Poor (3+ violations),724168.176
1573,Morgantown Generating Plant,MD,Charles,38.3592,-76.9767,1252.0,2022.0,Potomac River,1,0.8,Good (1 violation),6666607.032000001
1626,Salem Harbor,MA,Essex,42.5256,-70.8772,329.6,2014.0,"Salem Harbor, Atlantic Ocean",3,2.8,Poor (3+ violations),1755042.8736000003
1695,B C Cobb,MI,Muskegon,43.258768,-86.242268,312.6,2016.0,Muskegon Lake,1,1.36,Good (1 violation),1664521.8516000002
1702,Dan E Karn,MI,Bay,43.644996,-83.840074,544.0,2023.0,Saginaw River,0,0.32,Excellent (0 violations),2896672.704
1720,J C Weadock,MI,Bay,43.639927,-83.844712,312.6,2016.0,Saginaw River,1,1.42,Good (1 violation),1664521.8516000002
1723,J R Whiting,MI,Monroe,41.792114,-83.44948,345.4,2016.0,Lake Erie (North Maumee Bay),1,1.31,Good (1 violation),1839174.1764000005
1731,Harbor Beach,MI,Huron,43.8519,-82.6436,121.0,2013.0,Lake Huron,3,2.15,Poor (3+ violations),644296.686
1732,Marysville,MI,St Clair,42.9256,-82.4606,200.0,2011.0,St Clair River,3,2.11,Poor (3+ violations),1064953.2000000002
1740,River Rouge,MI,Wayne,42.2739,-83.1119,650.6,2021.0,Detroit River,0,0.27,Excellent (0 violations),3464292.7596000005
1743,St Clair,MI,St Clair,42.7642,-82.4719,1547.0,2022.0,St Clair River,0,0.0,Excellent (0 violations),8237413.002000001
1745,Trenton Channel,MI,Wayne,42.1217,-83.1808,775.5,2022.0,Trenton Channel,0,0.0,Excellent (0 violations),4129356.0330000008
1769,Presque Isle,MI,Marquette,46.5789,-87.395,624.7,2019.0,Lake Superior,0,0.51,Excellent (0 violations),3326381.3202000004
1830,James De Young,MI,Ottawa,42.7956,-86.1133,62.8,2017.0,Lake Macatawa,2,1.85,Fair (2 violations),334395.3048
1831,Eckert Station,MI,Ingham,42.71839,-84.55808,375.0,2021.0,Grand River,1,0.8,Good (1 violation),1996787.2500000002
1832,Erickson Station,MI,Eaton,42.692222,-84.657222,154.7,2022.0,Grand River,2,1.19,Fair (2 violations),823741.3002000002
1843,Shiras,MI,Marquette,46.530598,-87.392206,77.5,2019.0,Lake Superior,2,1.69,Fair (2 violations),412669.36500000005
1893,Clay Boswell,MN,Itasca,47.2611,-93.6528,150.0,2018.0,North Blackwater Lake,2,2.14,Fair (2 violations),798714.9
1904,Black Dog,MN,Dakota,44.8108,-93.2501,357.79999999999995,2015.0,Minnesota River,1,1.89,Good (1 violation),1905201.2747999998
1912,High Bridge,MN,Ramsey,44.9314,-93.1117,276.79999999999995,2007.0,Mississippi River,3,2.74,Poor (3+ violations),1473895.2287999997
1927,Riverside (MN),MN,Hennepin,45.0203,-93.2753,238.8,2009.0,Mississippi River,3,2.66,Poor (3+ violations),1271554.1208000001
1943,Hoot Lake,MN,Otter Tail,46.290641,-96.043252,136.9,2021.0,Otter Tail River,2,1.8,Fair (2 violations),728960.4654
2008,Silver Lake,MN,Olmsted,44.02818,-92.460377,99.0,2015.0,Zumbro River,2,2.43,Fair (2 violations),527151.834
2022,Willmar,MN,Kandiyohi,45.121705,-95.053236,4.0,2006.0,Wells,3,3.38,Poor (3+ violations),21299.064
2076,Asbury,MO,Jasper,37.361315,-94.58926,231.5,2020.0,Wells,2,1.26,Fair (2 violations),1232683.3290000001
2080,Montrose,MO,Henry,38.3114,-93.9348,564.0,2018.0,Montrose Lake,0,0.77,Excellent (0 violations),3003168.024
2094,Sibley,MO,Jackson,39.178319,-94.184445,524.0,2018.0,Missouri River,0,0.85,Excellent (0 violations),2790177.384
2104,Meramec,MO,St Louis,38.4017,-90.3358,648.0,2022.0,Mississippi River,0,0.43,Excellent (0 violations),3450448.3680000002
2122,Chillicothe,MO,Livingston,39.783388,-93.564112,13.5,2004.0,Municipality,3,2.8,Poor (3+ violations),71884.34100000001
2123,Columbia (MO),MO,Boone,38.964646,-92.316768,38.5,2019.0,Wells,2,1.8,Fair (2 violations),205003.49100000004
2144,Marshall (MO),MO,Saline,39.1228,-93.2064,22.5,2016.0,Municipality,2,2.04,Fair (2 violations),119807.23500000002
2161,James River Power Station,MO,Greene,37.108611,-93.261944,88.0,2017.0,Lake Springfield,2,1.8,Fair (2 violations),468579.40800000005
2171,Missouri City,MO,Clay,39.231534,-94.307979,46.0,2016.0,Missouri River,2,1.97,Fair (2 violations),244939.23600000003
2187,J E Corette Plant,MT,Yellowstone,45.77562,-108.480999,172.8,2015.0,Yellowstone River,2,1.8,Fair (2 violations),920119.5648000002
2324,Reid Gardner,NV,Clark,36.657347,-114.633263,636.8,2017.0,Wells/Muddy River,0,0.7,Excellent (0 violations),3390810.9888000004
2341,Mohave,NV,Clark,35.1458,-114.5917,1636.2,2012.0,Colorado River,1,0.87,Good (1 violation),8712382.129200002
2442,Four Corners,NM,San Juan,36.69,-108.4814,633.4,2013.0,SAN JUAN RIVER/MORGAN LAKE,1,1.21,Good (1 violation),3372706.7844000002
2451,San Juan,NM,San Juan,36.8006,-108.4386,1848.0,2022.0,San Juan River,0,0.2,Excellent (0 violations),9840167.568
2527,Greenidge Generation LLC,NY,Yates,42.6789,-76.9483,50.0,2009.0,Seneca Lake,3,2.98,Poor (3+ violations),266238.30000000005
2642,Rochester 7,NY,Monroe,43.268889,-77.629444,252.6,2008.0,Lake Ontario,3,2.8,Poor (3+ violations),1345035.8916
2706,Asheville,NC,Buncombe,35.4731,-82.5417,413.6,2020.0,Lake Julian (Powell Creek),1,1.33,Good (1 violation),2202323.2176000006
2708,Cape Fear,NC,Chatham,35.595,-79.0495,328.5,2012.0,Cape Fear River,2,2.21,Fair (2 violations),1749185.6310000003
2709,HF Lee Plant,NC,Wayne,35.379866,-78.087795,402.4,2012.0,H F Lee Lake,2,2.06,Fair (2 violations),2142685.8384000002
2713,L V Sutton Steam,NC,New Hanover,34.283056,-77.985278,671.6,2013.0,Sutton Lake (Catfish Creek),1,1.42,Good (1 violation),3576112.8456
2716,W H Weatherspoon,NC,Robeson,34.587538,-78.97552,165.5,2011.0,Weatherspoon Lake(Lumber River,3,2.63,Poor (3+ violations),881248.773
2718,G G Allen,NC,Gaston,35.1897,-81.0122,1148.4,2024.0,Lake Wylie,0,0.0,Excellent (0 violations),6114961.2744
2720,Buck,NC,Rowan,35.7133,-80.3767,370.0,2013.0,Yadkin River,2,2.02,Fair (2 violations),1970163.4200000002
2721,James E. Rogers Energy Complex,NC,Cleveland,35.22,-81.7594,1010.0,2011.0,Broad River,1,0.89,Good (1 violation),5378013.66
2723,Dan River,NC,Rockingham,36.4862,-79.7208,290.0,2012.0,Dan River,3,2.3,Poor (3+ violations),1544182.1400000001
2732,Riverbend,NC,Gaston,35.36,-80.9742,466.0,2013.0,Catawba River,2,1.8,Fair (2 violations),2481340.9560000002
2790,R M Heskett,ND,Morton,46.8669,-100.8836,115.0,2022.0,Missouri River,2,1.96,Fair (2 violations),612348.0900000001
2824,Stanton,ND,Mercer,47.286643,-101.331908,190.2,2017.0,Missouri River,2,2.2,Fair (2 violations),1012770.4932000001
2830,Walter C Beckjord,OH,Clermont,38.9917,-84.2981,1221.3,2014.0,Ohio River,1,0.8,Good (1 violation),6503136.7158
2832,Miami Fort,OH,Hamilton,39.1128,-84.8036,263.2,2015.0,Ohio River,2,2.17,Fair (2 violations),1401478.4112
2848,O H Hutchings,OH,Montgomery,39.6088,-84.2921,414.0,2015.0,Great Miami River,1,1.91,Good (1 violation),2204453.1240000003
2861,Niles Power Plant,OH,Trumbull,41.166928,-80.74769,265.6,2012.0,Mahoning River,3,2.45,Poor (3+ violations),1414257.8495999998
2878,FirstEnergy Bay Shore,OH,Lucas,41.6917,-83.4378,498.79999999999995,2012.0,Lake Erie,2,1.99,Fair (2 violations),2655993.2807999994
2908,Lake Road (OH),OH,Cuyahoga,41.527778,-81.649444,160.0,1994.0,Lake Erie,3,3.2,Poor (3+ violations),851962.56
2914,Dover (OH),OH,Tuscarawas,40.520066,-81.46815,4.0,2007.0,Tuscarawas River,3,3.2,Poor (3+ violations),21299.064
2937,Piqua Power Plant,OH,Miami,40.133848,-84.237258,44.8,2007.0,River Miami,3,3.07,Poor (3+ violations),238549.51680000004
2942,St Marys,OH,Auglaize,40.5458,-84.3889,16.0,2007.0,Grand Lake St Marys,3,3.13,Poor (3+ violations),85196.256
2943,Shelby Municipal Light Plant,OH,Richland,40.88,-82.6567,37.0,2013.0,Municipality,3,2.8,Poor (3+ violations),197016.342
2963,Northeastern,OK,Rogers,36.4317,-95.7008,473.0,2016.0,Verdigris River,1,1.14,Good (1 violation),2518614.318
3113,Portland (PA),PA,Northampton,40.910205,-75.079398,255.0,2013.0,Delaware River,3,2.2,Poor (3+ violations),1357815.33
3115,Titus,PA,Berks,40.3056,-75.9081,225.0,2013.0,Schuylkill River,3,2.23,Poor (3+ violations),1198072.35
3122,Homer City Generating Station,PA,Indiana,40.512825,-79.196107,2012.0,2024.0,Two Lick Creek,0,0.0,Excellent (0 violations),10713429.192
3130,Seward (PA),PA,Indiana,40.40625,-79.03366,218.2,2003.0,Conemaugh River,3,2.72,Poor (3+ violations),1161863.9412000002
3132,Warren,PA,Warren,41.835947,-79.188668,84.0,2002.0,Allegheny River,3,3.03,Poor (3+ violations),447280.34400000004
3138,New Castle Plant,PA,Lawrence,40.937939,-80.369007,70.0,1993.0,Beaver River,3,3.2,Poor (3+ violations),372733.62
3148,TalenEnergy Martins Creek,PA,Northampton,40.797762,-75.105416,312.4,2007.0,Delaware River,2,2.43,Fair (2 violations),1663456.8984000003
3149,TalenEnergy Montour,PA,Montour,41.0714,-76.6672,17.2,2019.0,Susquehanna River,2,2.2,Fair (2 violations),91585.9752
3152,Sunbury Generation LP,PA,Snyder,40.8361,-76.825,437.9,2014.0,Susquehanna River,2,1.78,Fair (2 violations),2331715.0314000007
3159,Cromby Generating Station,PA,Chester,40.1531,-75.5294,187.5,2011.0,Schuylkill River,3,2.43,Poor (3+ violations),998393.6250000001
3161,Eddystone Generating Station,PA,Delaware,39.858,-75.323,707.2,2012.0,Delaware River,1,1.49,Good (1 violation),3765674.5152000007
3251,H B Robinson,SC,Darlington,34.4017,-80.1589,206.6,2012.0,Lake Robinson,3,2.77,Poor (3+ violations),1100096.6556000002
3264,W S Lee,SC,Anderson,34.6022,-82.435,180.0,2014.0,Saluda River,3,2.69,Poor (3+ violations),958457.8800000001
3280,Canadys Steam,SC,Colleton,33.0647,-80.6228,489.6,2013.0,Edisto River,2,2.2,Fair (2 violations),2607005.4336
3317,Dolphus M Grainger,SC,Horry,33.826655,-79.053368,163.2,2012.0,Waccamaw River,3,2.84,Poor (3+ violations),869001.8112000001
3319,Jefferies,SC,Berkeley,33.244404,-79.990909,345.6,2012.0,Lake Moultrie/Tail Race Canal,2,2.5,Fair (2 violations),1840239.1296000003
3325,Ben French,SD,Pennington,44.087235,-103.260959,25.0,2014.0,Wells,3,2.8,Poor (3+ violations),133119.15000000002
3393,Allen,TN,Shelby,35.074087,-90.14868,990.0,2018.0,Mississippi River,0,0.33,Excellent (0 violations),5271518.34
3396,Bull Run,TN,Anderson,36.0211,-84.1567,950.0,2023.0,Clinch River,0,0.2,Excellent (0 violations),5058527.7
3405,John Sevier,TN,Hawkins,36.3767,-82.9639,800.0,2014.0,Holston River,1,1.0,Good (1 violation),4259812.800000001
3406,Johnsonville,TN,Humphreys,36.0278,-87.9861,1485.2,2017.0,Tennessee River,0,0.0,Excellent (0 violations),7908342.463200001
3419,Watts Bar Fossil,TN,Rhea,35.6108,-84.7811,240.0,2011.0,Tennessee River,3,2.21,Poor (3+ violations),1277943.84
3492,Morgan Creek,TX,Mitchell,32.3358,-100.9156,800.0,,Lake Colorado City,2,1.72,Fair (2 violations),4259812.800000001
3497,Big Brown,TX,Freestone,31.8206,-96.0544,1986.8,2018.0,Fairfield Lake,1,0.8,Good (1 violation),10579245.0888
3502,Lake Creek,TX,McLennan,31.4647,-96.985,800.0,,Lake Creek Lake,2,1.77,Fair (2 violations),4259812.800000001
3644,Carbon,UT,Carbon,39.7272,-110.8644,188.6,2015.0,Price River,2,2.21,Fair (2 violations),1004250.8676000001
3775,Clinch River,VA,Russell,36.9333,-82.1997,237.5,2015.0,Clinch River,2,1.92,Fair (2 violations),1264631.925
3776,Glen Lyn,VA,Giles,37.3706,-80.8633,337.5,2015.0,New River,1,1.75,Good (1 violation),1797108.5250000001
3797,Chesterfield,VA,Chesterfield,37.3822,-77.3833,1352.9,2023.0,James River,0,0.0,Excellent (0 violations),7203875.9214
3803,Chesapeake,VA,Chesapeake,36.7711,-76.3019,649.5,2015.0,S Branch Elizabeth River,0,1.24,Excellent (0 violations),3458435.5170000005
3809,Yorktown,VA,York,37.2144,-76.4611,375.0,2019.0,York River,1,1.46,Good (1 violation),1996787.2500000002
3845,Transalta Centralia Generation,WA,Lewis,46.755938,-122.859764,729.9,2020.0,Skookumchuck River,0,0.34,Excellent (0 violations),3886546.7034000005
3936,Kanawha River,WV,Kanawha,38.2056,-81.4211,439.2,2017.0,Kanawha River,1,1.77,Good (1 violation),2338637.2272000005
3938,Philip Sporn,WV,Mason,38.9669,-81.9231,1105.5,2015.0,Ohio River,0,0.73,Excellent (0 violations),5886528.813
3942,FirstEnergy Albright,WV,Preston,39.488611,-79.636944,278.2,2012.0,Cheat River,3,2.64,Poor (3+ violations),1481349.9012
3945,FirstEnergy Rivesville,WV,Marion,39.531389,-80.113056,109.7,2012.0,Monongahela River,3,3.0,Poor (3+ violations),584126.8302000002
3946,FirstEnergy Willow Island,WV,Pleasants,39.367222,-81.30001,213.2,2012.0,Ohio River,3,2.75,Poor (3+ violations),1135240.1112000002
3992,Blount Street,WI,Dane,43.0789,-89.3744,87.5,2011.0,Lake Monona,3,2.45,Poor (3+ violations),465917.0250000001
4040,Port Washington Generating Station,WI,Ozaukee,43.3842,-87.8689,320.0,2004.0,Lake Michigan,2,2.46,Fair (2 violations),1703925.12
4041,South Oak Creek,WI,Milwaukee,42.8457,-87.8294,598.4,2024.0,Lake Michigan,0,0.27,Excellent (0 violations),3186339.9744
4050,Edgewater,WI,Sheboygan,43.715142,-87.705863,420.0,2018.0,Lake Michigan,1,1.17,Good (1 violation),2236401.72
4054,Nelson Dewey Generating Station,WI,Grant,42.7225,-91.0085,227.2,2015.0,Mississippi River,2,1.77,Fair (2 violations),1209786.8352
4072,Pulliam,WI,Brown,44.54,-88.0086,410.2,2018.0,Green Bay,1,1.2,Good (1 violation),2184219.0132000004
4078,Weston,WI,Marathon,44.8606,-89.6553,60.0,2015.0,Wisconsin River,2,2.21,Fair (2 violations),319485.96
4125,Manitowoc,WI,Manitowoc,44.082,-87.6558,15.0,2003.0,Lake Michigan,3,3.2,Poor (3+ violations),79871.49
4140,Alma,WI,Buffalo,44.308333,-91.911111,181.0,2014.0,Mississippi River,3,1.98,Poor (3+ violations),963782.6460000002
4143,Genoa,WI,Vernon,43.5589,-91.2325,345.6,2021.0,Mississippi River,1,0.99,Good (1 violation),1840239.1296000003
